qcode,label,parents,definition
medtop:20000340,railway transport,medtop:20000337,The movement of passengers and freight by rail
medtop:20000341,road transport,medtop:20000337,The movement of passengers and freight by road
medtop:20000342,traffic,medtop:20000337,Traffic reports and/or warnings
medtop:20000343,waterway and maritime transport,medtop:20000337,"Commercial movement of people or goods via boats, ships and water"
medtop:20000344,economy,medtop:04000000,"Production, consumption, distribution and trade activities affecting regions or countries as a whole"
medtop:20000345,economic policy,medtop:20000621,"Government-directed policy on the economy including, production, taxes and tariffs"
medtop:20000346,economic trends and indicators,medtop:20000344,The behaviour and performance of the economy as a whole
medtop:20000347,bonds,medtop:20000346,Corporate or governmental paper representing the loan of money at a fixed rate and for a fixed time to that company or government
medtop:20000348,budgets and budgeting,medtop:20000346,A method of balancing revenues against expenses
medtop:20000349,business enterprise,medtop:04000000,Organisations set up to create and sell a product or service
medtop:20000350,central bank,medtop:20000344,A country's major bank that sets interest rates and provides transfer of funds between commercial banks
medtop:20000351,consumers,medtop:20000346,Buyers of goods and services
medtop:20000352,consumer confidence,medtop:20000346,"A measure of consumers' feelings about current and future economic conditions, including prices, inflation and the quality of retail goods, used as an indicator of the overall state of the economy"
medtop:20000353,consumer issue,medtop:20000351,"Issues, such as prices, inflation/deflation, quality of goods, at the retail sales level"
medtop:20000354,credit and debt,medtop:20000346,"Credit: the amount of money available to you, often by loan. Debt: the amount you owe."
medtop:20000355,currency,medtop:20000344,"The system of money used by a country, including the value of one currency as measured against another"
medtop:20000356,deflation,medtop:20000346,The decrease in the general price level of goods and services within an economy
medtop:20000357,economic growth,medtop:20000346,An increase of the gross domestic product (GDP)
medtop:20000358,economic indicator,medtop:20000346,"Certain indexes, such as company inventories, the movement of prices that show whether the economy is improving or declining"
medtop:20000359,gross domestic product,medtop:20000346,"A measure of a region's economic performance, commonly abbreviated as GDP"
medtop:20000360,industrial production,medtop:20000346,Manufacture of durable and non-durable goods
medtop:20000361,inventories,medtop:20000346,"Goods not sold and held by the producer, wholesaler or retailer"
medtop:20000362,productivity,medtop:20000346,A measure of output from production or service
medtop:20000363,economic organisation,medtop:20000344,"Business, industrial and trade associations, societies and other private-sector groups"
medtop:20000364,emerging market,medtop:20000344,Economies of developing nations that are growing and becoming more engaged with global markets
medtop:20000365,employment statistics,medtop:20000346,"Trends and statistics about areas such as job growth, unemployment and wage growth"
medtop:20000366,exporting,medtop:20000346,The producing of manufacturing of goods by a country to be sold elsewhere
medtop:20000367,government aid,medtop:20000346,"Supply of financial and other help by one government, usually to another"
medtop:20000368,government debt,medtop:20000346,Debt incurred when a country borrows funds to pay for public services and projects that it cannot afford based on the amount of taxes it has raised
medtop:20000369,importing,medtop:20000346,A country bringing in goods that were produced or manufactured elsewhere
medtop:20000370,inflation,medtop:20000346,The overall increase in prices and cost of living throughout an economy
medtop:20000371,interest rates,medtop:20000379,The amount a lender charges a borrower as a percentage of the principal. Often set by a central bank or government.
medtop:20000372,international economic institution,medtop:20000344,"Global institutions working in the domain of international economic cooperation and stability, such as the International Monetary Fund, UNIDO, World Bank and World Trade Organization"
medtop:20000373,international trade,medtop:20000344,Trade of goods and services between nations
medtop:20000374,trade agreements,medtop:20000373,Agreements between countries or trading blocs for the sale and purchase of goods and services
medtop:20000375,balance of trade,medtop:20000373,The difference between the financial value of imports and exports
medtop:20000376,trade dispute,medtop:20000373,"International dispute over issues such as trade barriers, cartels and dumping, resolved by the World Trade Organization"
medtop:20000377,trade policy,medtop:20000373,"Governmental decisions on tariffs, shipping, embargoes, and the types of goods and services to be imported and exported"
medtop:20000378,investments,medtop:20000346,"Speculative purchases of corporate instruments, of commodities, currencies, or parts thereof"
medtop:20000379,monetary policy,medtop:20000344,Government bank directed policy on the amount of money in circulation and the rate at which it can be loaned
medtop:20000380,mortgages,medtop:20000346,"Trends around loans taken out to buy homes, such as the interest rates of mortgages, the amount of people buying property with a mortgage and the ease of getting approved for a mortgage"
medtop:20000381,mutual funds,medtop:20000344,"Pools of shares or bonds for sale often grouped by investment intention, such as growth, income or security"
medtop:20000382,prices,medtop:20000346,"The monetary value of goods, services or stocks and bonds"
medtop:20000383,recession,medtop:20000346,A decrease in gross domestic product over a period of two quarters in a row
medtop:20000384,tariff,medtop:20000373,Fees placed on imported or exported goods
medtop:20000385,market and exchange,medtop:04000000,"Market for buying and selling stocks, currencies, commodities and other goods"
medtop:20000386,commodities market,medtop:20000385,"The market for goods such as cotton, oil, coal and metals"
medtop:20000387,energy market,medtop:20000386,"The market for commodities such as electricity, heat, and fuel products"
medtop:20000388,metal,medtop:20000386,"Markets for trading base metals such as copper, aluminium, steel, zinc etc"
medtop:20000389,soft commodities market,medtop:20000386,"Market for commodities such as cotton, sugar, sorghum, soybeans"
medtop:20000390,debt market,medtop:20000385,"Market for debt instruments such as bonds, certificates of deposit, banker's acceptances and Treasury bills"
medtop:20000391,foreign exchange market,medtop:20000385,The market for international currency
medtop:20000392,loan market,medtop:20000385,The market where financial organisations provide loans to borrowers and sell them on to investors
medtop:20000393,loans and lending,medtop:20001370,An agreement by an individual or institution to borrow money with an agreed interest rate and time for its return
medtop:20000394,securities,medtop:20000183,Markets for trading types of company paper such as stocks and bonds
medtop:20000395,derivatives,medtop:20000396,"Financial instruments such as futures, swaps and options that depend on an underlying instrument such as a commodity, bond, equity or currency"
medtop:20000396,stocks and securities,medtop:20000183,Financial instruments such as company shares and bonds
medtop:20000398,parents group,medtop:05000000,Group of parents set up to support educational activities of their children
medtop:20000399,religious education,medtop:05000000,"Instruction by any faith about that faith's principles and beliefs, including Sunday school or preparation for a religious rite, such as a bar mitzvah"
medtop:20000400,school,medtop:05000000,A building or institution in which education is provided
medtop:20000401,primary education,medtop:20000400,"Education and schools designed to provide students with fundamental skills in reading, writing and mathematics and to establish a solid foundation for later learning"
medtop:20000402,further education,medtop:20000400,Any form of education beyond basic education of several levels
medtop:20000403,adult and continuing education,medtop:20000400,"Education for adults who have left the formal education system that offers new forms of knowledge or skills, including professional certificates and online courses provided by companies such as Codeacademy or Udemy"
medtop:20000404,upper secondary education,medtop:20000400,Education and schools preparing students for tertiary education or providing skills relevant to employment through a curriculum with an increased range of subject options and streams
medtop:20000405,college and university,medtop:20000400,"Institutions of higher learning that provide degrees in a course of study at the undergraduate, postgraduate or doctorate level"
medtop:20000406,college,medtop:20000405,"Institution of higher learning, its specific scope is set differently in different countries"
medtop:20000407,university,medtop:20000405,Institutions of higher learning capable of providing doctorate degrees
medtop:20000408,lower secondary education,medtop:20000400,Education and schools that build on primary education with a more subject-oriented curriculum. Schools may be called middle schools or junior highs in the United States.
medtop:20000409,early childhood education,medtop:20000400,Education for children under the national compulsory education age
medtop:20000410,social learning,medtop:05000000,"The learning of social skills and behaviours through the imitation and observation of others. This can include formal and informal instruction around empathy, emotions and mental health."
medtop:20000411,teaching and learning,medtop:05000000,Either end of the education equation
medtop:20000412,curriculum,medtop:05000000,The courses offered by a learning institution and the regulation of those courses
medtop:20000413,educational testing and examinations,medtop:05000000,"Polices and standards around the testing and assessment of students, including the merits of standardised testing, and testing methods"
medtop:20000414,entrance examination,medtop:05000000,"Exams for entering colleges, universities and all other higher and lower education institutions"
medtop:20000415,students,medtop:05000000,"Students as a demographic, including student protests and requests for change and trends among students"
medtop:20000416,teachers,medtop:05000000,"Teachers as a demographic, including teacher unions, teacher education and training and the criteria for teachers in various locations"
medtop:20000418,climate change,medtop:06000000,"All issues relating to extreme changes in climate, including rising global temperature, debate on the causes and solutions of global warming, greenhouse gases and ways to reduce emissions"
medtop:20000419,global warming,medtop:20000418,"This category includes all issues relating to global warming including temperature research, remote sensing on temperature trends, debate on global warming, ways to reduce emissions and carbon trading."
medtop:20000420,conservation,medtop:06000000,"Preservation of the natural world, such as wilderness areas, flora and fauna"
medtop:20000421,energy saving,medtop:20000420,"Conservation of electrical, and other power sources"
medtop:20000422,nature preserve,medtop:20000420,"Land set aside for conservation and preservation of flora and fauna, such as national, state and provincial parks"
medtop:20000423,environmental policy,medtop:20000621,"Government programs and policies related to environmental issues, such as pollution, renewable energy and conservation"
medtop:20000424,environmental pollution,medtop:06000000,"Corruption of air, water, land etc. by harmful substances"
medtop:20000425,air pollution,medtop:20000424,Solid or gaseous matter affecting the quality of air that we breathe
medtop:20000426,environmental clean-up,medtop:20000424,Processes whereby contaminated areas are cleaned of hazardous materials so they can be inhabited again by either people or animals.
medtop:20000427,hazardous materials,medtop:20000424,"Materials that are harmful to humans or animals if they are exposed to them. Includes radiation, poison gases, chemicals, heavy metals, PCBs, and certain plant products"
medtop:20000428,waste materials,medtop:20000424,"The environmental impact of waste, including recycling efforts"
medtop:20000429,water pollution,medtop:20000424,Solids or liquids that corrupt the quality of water that could be used for drinking or irrigation
medtop:20000430,natural resource,medtop:06000000,"Assets afforded by nature without human intervention that can be used for various purposes, such as providing energy or industrial materials"
medtop:20000431,energy resources,medtop:20000430,"Such resources as coal, gas, wind, sunlight etc., used to generate heat, electricity and power"
medtop:20000432,land resources,medtop:20000430,That portion of a nation or state that is above water and available for development either for profit or for the general good of the public
medtop:20000433,forest,medtop:20000441,"Open areas of trees either available for public enjoyment, or for commercial purposes"
medtop:20000434,mountain,medtop:20000441,"Elevated land masses formed over the ages either by erosion, volcanic eruption, or movement of massive geographical formations called plates"
medtop:20000435,population growth,medtop:20000430,People and their growth and development within a natural setting
medtop:20000436,renewable energy,medtop:20000430,"The environmental impact of renewable energy, including solar, wind, hydro, biomass and geothermal"
medtop:20000437,water,medtop:20000430,"Environmental issues about bodies of water, including oceans, lakes, streams and reservoirs, as well as ice, glaciers and forms of precipitation"
medtop:20000438,ocean,medtop:20000441,The body of salt water that covers nearly three fourths of the surface of the earth
medtop:20000439,river,medtop:20000441,Moving water areas bounded by land that extend from earth sources and meander through land areas to join with other water areas
medtop:20000440,wetland,medtop:20000441,Areas generally marshy and not either under water or dry land. Often related to aquifers for water quality and/or wildlife
medtop:20000441,nature,medtop:06000000,The natural world in its entirety
medtop:20000442,ecosystem,medtop:20000441,"A system of plants, animals and bacteria interrelated in its physical/chemical environment"
medtop:20000443,endangered species,medtop:20000441,"Those species in danger of disappearing, largely because of changes in environment, hunting, or weather"
medtop:20000444,invasive species,medtop:20000441,"Non-native plants, animals and other organisms that tend to take over native species"
medtop:20000446,disease and condition,medtop:07000000,Any health conditions affecting humans
medtop:20000447,cancer,medtop:20000446,A serious and often fatal disease caused when normal cells mutate into tumours
medtop:20000448,communicable disease,medtop:20000446,Diseases that can be transmitted from one person or animal to another
medtop:20000449,epidemic and pandemic,medtop:20000448,"A disease that affects a large number of people within a community, population, region or that has spread to multiple countries or continents across the world"
medtop:20000450,plague (disease),medtop:20000449,A highly infectious epidemic disease caused by the Yersinia pestis bacteria
medtop:20000451,viral disease,medtop:20000448,Diseases caused by an infection by viruses
medtop:20000452,HIV and AIDS,medtop:20000451,"HIV, a virus that attacks the body's immune system, and AIDS the disease caused by HIV"
medtop:20000453,retrovirus,medtop:20000451,A family of RNA viruses such as those causing leukaemia and AIDS
medtop:20000454,heart disease,medtop:20000446,"Diseases and conditions affecting the heart such as heart attacks, the narrowing of arteries, arrhythmia or cardiomyopathy"
medtop:20000455,illness,medtop:20000446,"Non-specific maladies such as stomach aches, headaches, flat feet, lumbago"
medtop:20000456,injury,medtop:20000446,"Harm caused to the human body by external forces such as falls, weapons or accidents"
medtop:20000457,medical condition,medtop:20000446,"An abnormal condition that affects the structure and functioning of the body, such as chronic pain, high blood pressure or osteoporosis"
medtop:20000458,mental health and disorder,medtop:20000446,"The psychological well-being of an individual and the diseases and disorders that affect mood, thinking and behaviour as well as actions taken to bring improvement and awareness to these conditions"
medtop:20000459,eating disorder,medtop:20000458,"Anorexia, bulimia, overeating and similar illnesses"
medtop:20000460,obesity,medtop:20000457,"A condition of body weight generally considered 20 percent above the norm for gender, age, height and bone structure"
medtop:20000461,health facility,medtop:07000000,Facilities used for any kind of health care
medtop:20000462,hospital,medtop:20000461,Medical facilities for the treatment of illnesses and injury
medtop:20000463,health organisation,medtop:07000000,"Specific health organisations, including professional associations, non-profit and international groups"
medtop:20000464,health treatment and procedure,medtop:07000000,"Remedies, therapies, interventions, medications, testing and treatments to prevent, diagnose, manage or improve a health condition"
medtop:20000465,diet,medtop:20000464,"Ways of eating to benefit health or treat a condition, such as plant-based, low-salt, high-fibre or gluten-free"
medtop:20000466,dietary supplement,medtop:20000465,Nutrients taken in addition to food to bolster health
medtop:20000467,non-prescription drug,medtop:20000464,Chemical substances used in the treatment or prevention of physical or mental condition or disease
medtop:20000468,prescription drug,medtop:20000464,Drugs that can be obtained only with a doctor's authorisation
medtop:20000469,medical test,medtop:20000464,"Diagnostic procedure, such as stress test, blood test, CAT scan or MRI"
medtop:20000470,health care approach,medtop:20000464,Different approaches to medical care that vary in the methods and substances used to treat symptoms
medtop:20000471,herbal medicine,medtop:20000470,Treatment based on the use of herbs and other plants to cure or alleviate symptoms
medtop:20000472,holistic medicine,medtop:20000470,Treatment of the whole person including mental and environmental factors in addition to treating symptoms
medtop:20000473,traditional Chinese medicine,medtop:20000470,"The practice of diagnosis, treatment and prevention of disease based on traditional methods developed in Eastern Asia"
medtop:20000474,conventional medicine,medtop:20000470,"The practice of diagnosis, treatment and prevention of disease based on modern scientific research"
medtop:20000475,physical fitness,medtop:20000464,The measure of the body's ability to function efficiently and effectively during work and leisure activities.
medtop:20000476,preventative medicine,medtop:20000464,Substances used to prevent diseases or illnesses
medtop:20000477,vaccine,medtop:20000464,Medications designed to create immunity to diseases
medtop:20000478,therapy,medtop:20000464,"Treatment of physical, mental or medical conditions by non-surgical means"
medtop:20000479,healthcare policy,medtop:20000621,"Government programs and policies related to healthcare such as drug policies, psychiatric care, health care funding and pandemic response"
medtop:20000480,government health care,medtop:07000000,Health care provided by governments at any level
medtop:20000481,Medicaid,medtop:20000480,A program of the U.S. government to provide health care to needy citizens of all ages
medtop:20000482,Medicare,medtop:20000480,A program of the U.S. government to provide health care to senior citizens
medtop:20000483,health insurance,medtop:07000000,Insurance covering medical costs
medtop:20000484,private health care,medtop:07000000,Health care provided by private organisations
medtop:20000485,medical profession,medtop:07000000,"Profession requiring formal training in the study, diagnosis, treatment, care and prevention of disease, medical condition or injury"
medtop:20000486,medical service,medtop:20000485,"Medical support for doctors, including blood tests and other medical tests on individuals, X-rays, CAT scans, MRIs, etc"
medtop:20000487,medical specialisation,medtop:20000485,The different medical specialist areas
medtop:20000488,geriatric medicine,medtop:20000487,"Specialty focusing on ageing and age-related issues including age-related illnesses, medical research, and trends."
medtop:20000489,obstetrics/gynaecology,medtop:20000487,Specialty of female reproductive organs
medtop:20000490,paediatrics,medtop:20000487,"Medical specialisation that focuses on treating the young, including premature babies, infant care, childhood diseases and teenage health and behaviour problems"
medtop:20000491,reproductive medicine,medtop:20000487,Speciality of reproductive technologies like invitro fertilisation
medtop:20000492,medical staff,medtop:20000485,"Doctors, nurses, interns and others in a medical facility"
medtop:20000493,non-human diseases,medtop:07000000,"Any harmful or destructive health condition affecting animals, plants or microorganisms."
medtop:20000494,animal disease,medtop:20000500,Disease affecting animals
medtop:20000495,plant disease,medtop:20000507,Disorders affecting plants caused either by parasites or environmental factors
medtop:20000497,accomplishment,medtop:08000000,"Achievements by individuals or groups, animals, plants or other objects, such as winning a competitive contest etc"
medtop:20000498,award and prize,medtop:08000000,"The recognition of an achievement in a field in the form of a symbolic item, such as a plaque or trophy or in the form of a monetary gift, such as a cash prize or grant, given by a government or private institution"
medtop:20000499,record and achievement,medtop:08000000,"Non-sport achievement by an individual or group that sets a new record, such as most books read or holding one's breath the longest"
medtop:20000500,animal,medtop:20000441,"Human interest and cultural stories related to animals, including pets"
medtop:20000501,ceremony,medtop:08000000,"Rituals, such as dedications, wreath laying or celebrating the launching of a ship"
medtop:20000502,people,medtop:08000000,Individuals or groups with a focus on emotional facets
medtop:20000503,human mishap,medtop:08000000,Silly or stupid human errors
medtop:20000504,high society,medtop:08000000,Life and behaviour of the rich and socialites
medtop:20000505,celebrity,medtop:08000000,Life and behaviour of famous people
medtop:20000506,royalty,medtop:20000504,Imperial and royal family members in their societal rather than governmental roles
medtop:20000507,flowers and plants,medtop:20000441,"Human interest and cultural stories related to plants, flowers and trees"
medtop:20000509,employment,medtop:09000000,"The state of having work, usually paid, for a company, organisation, or individual"
medtop:20000510,apprenticeship,medtop:20000509,A period of work used to learn a skill or trade
medtop:20000511,child labour,medtop:20000509,The employment of children
medtop:20000512,employee,medtop:20000509,Those who are paid or otherwise compensated for providing services to employers
medtop:20000513,employer,medtop:20000509,People and organisations that pay employees to provide services
medtop:20000514,employment training,medtop:20000509,"Learning new skills as part of an existing job, such as developing specialisations, learning new techniques or retraining when an employee's skills are no longer relevant"
medtop:20000515,advanced training,medtop:20000514,Additional training to enhance current skills
medtop:20000516,retraining,medtop:20000514,Providing a worker training in new skills when his old skills are no longer applicable
medtop:20000517,occupations,medtop:20000509,"Generally one's trade, profession or business although professions are usually such things as lawyers and doctors, and occupations are such as clerks or truckers"
medtop:20000518,wages and benefits,medtop:20000509,"Money, or other items of value such as pension contributions and health insurance, paid to employees as compensation for their work"
medtop:20000519,employee benefits,medtop:20000518,"Benefits provided to an employee by a company, such as pension contributions, health insurance."
medtop:20000520,social security,medtop:20000518,"a government system that provides monetary assistance to people with inadequate or no incomes, such as retirees, disabled people or carers"
medtop:20000521,employment legislation,medtop:09000000,Laws governing employment
medtop:20000522,workplace health and safety,medtop:20000521,Laws protecting a safe and healthy work environment
medtop:20000523,labour market,medtop:09000000,The supply and demand of labour in an economy
medtop:20000524,labour relations,medtop:09000000,The relationship between workers and employers
medtop:20000525,collective agreements,medtop:20000524,"Negotiated guidelines for relationships between groups of employees and employers, including issues such as working hours, wages, health care, pensions and other benefits"
medtop:20000526,contract issue-healthcare,medtop:20000525,Element of contracts and contract discussions centring on health care issues
medtop:20000527,contract issue-wages,medtop:20000525,Element of contracts and contract discussions centring on remuneration
medtop:20000528,contract issue-work rules,medtop:20000525,"Element of contracts and contract discussions centring on rules affecting issues such as lunch and other breaks, work shifts, vacation scheduling, seniority, sick leave etc."
medtop:20000529,labour dispute,medtop:20000524,"Disagreements between employers and employees regarding work conditions, pay or other issues"
medtop:20000530,labour strike,medtop:20000529,Groups of employees agreeing to cease work activities with the aim of achieving better pay or work conditions
medtop:20000531,retirement,medtop:09000000,The years after work
medtop:20000532,pension,medtop:20000531,"Payments, either government or private, to retired people"
medtop:20000533,unemployment,medtop:09000000,The state of being available to work but not having a job
medtop:20000534,job layoffs,medtop:20000533,The reduction of a company's work force through dismissal because of changing economic factors
medtop:20000535,unemployment benefits,medtop:20000533,Monetary compensation paid to the jobless
medtop:20000536,unions,medtop:09000000,Groups established to represent bodies of workers in order to obtain better workplace conditions through collective bargaining
medtop:20000538,leisure,medtop:10000000,Activities carried out in ones' spare time and not in a competitive way.
medtop:20000539,club and association,medtop:20000538,Organisations joined by individuals because of similar interests
medtop:20000540,game,medtop:20000538,Contests generally for one's amusement
medtop:20000541,board game,medtop:20000540,A game played on a board
medtop:20000542,card game,medtop:20000540,A game played with a pack of cards
medtop:20000543,children's game,medtop:20000540,A game designed for and most often played by children
medtop:20000544,dice game,medtop:20000540,A game played using dice only
medtop:20000545,outdoor game,medtop:20000540,A game played in an open space
medtop:20000546,puzzle,medtop:20000540,A game played solving logic problems for entertainment
medtop:20000547,tile game,medtop:20000540,A game played using tiles
medtop:20000548,video game,medtop:20000540,A game played using a video display
medtop:20000549,gaming and lottery,medtop:20000538,"Gambling, often involving selection of sets of numbers one expects to come up"
medtop:20000550,hobby,medtop:20000538,Recreational pursuit
medtop:20000551,holiday,medtop:20000538,Time spent not at work for rest and relaxation
medtop:20000552,public holiday,medtop:20000551,A day of celebration declared by a government
medtop:20000553,leisure venue,medtop:20000538,"A place where people go to be entertained or amused. For sporting events, use sport venue."
medtop:20000554,amusement park,medtop:20000553,"A park providing various rides and entertainment attractions for both adults and children, including theme parks"
medtop:20000555,bar,medtop:20000553,A business where drinks are prepared and served to the public for consumption on the premises
medtop:20000556,cafe,medtop:20000553,A small business where drinks and snacks are prepared and served - its specifics may depend on the local culture
medtop:20000557,nightclub,medtop:20000553,"A commercial establishment providing music, or other entertainment along with food and drink to selected clientele"
medtop:20000558,restaurant,medtop:20000553,A business where meals are prepared and served to the public
medtop:20000559,sports facilities,medtop:20000553,"Gymnasiums, stadiums or arenas where sports events take place"
medtop:20000560,outdoor recreational activities,medtop:20000538,"Leisure activities engaged in the outdoors, most commonly in natural settings"
medtop:20000561,fishing,medtop:20000560,"A recreational activity involving the use of baits, lures, weapons and traps for the capture of aquatic species."
medtop:20000562,hunting,medtop:20000560,An activity involving the use of weapons or traps for the capturing of animals
medtop:20000563,travel and tourism,medtop:20000538,"Spending time away from home in pursuit of recreation, relaxation or pleasure"
medtop:20000564,tourism,medtop:20000563,"Leisure travel involving visits to a number of locations and/or countries over an extended period of time, often as part of an organised group"
medtop:20000565,lifestyle,medtop:10000000,"The way in which a person lives, including their style and possessions"
medtop:20000566,automobile enthusiasm,medtop:20000550,Interest in new and classic cars
medtop:20000567,bicycle enthusiasm,medtop:20000550,Interest in new and classic manpowered cycles
medtop:20000568,food and drink enthusiasm,medtop:20000550,Interest in eating and drinking
medtop:20000569,organic food,medtop:20000565,Food which is grown using no artificial fertilisers or chemical compounds
medtop:20000570,house and home,medtop:20000565,Interest in maintaining and decorating one's home
medtop:20000571,motorcycle enthusiasm,medtop:20000550,Interest in new and classic motor-powered cycles
medtop:20000572,trend,medtop:20000565,Interest in what is considered hip or popular at a certain point in time
medtop:20000574,election,medtop:11000000,The selection of government representatives by the casting of votes by the populace
medtop:20000575,citizens' initiative and recall,medtop:20000574,"Political suggestions by non-government officials for corrective action, or for changes in existing rules and regulations"
medtop:20000576,voting system,medtop:20000574,"The set of rules that determine how elections are conducted and how their results are determined, including discussions of the electoral college, ranked choice voting or the allocation of governmental seats"
medtop:20000577,intergovernmental elections,medtop:20000574,"Choosing individuals for the leadership of an international organisation, such as the United Nations, European Union, NATO and World Bank"
medtop:20000578,local elections,medtop:20000574,"Choosing individuals for government at the city, village or county level"
medtop:20000579,national elections,medtop:20000574,Choosing individuals for government at a national level
medtop:20000580,political campaigns,medtop:20000574,Campaigns for public office
medtop:20000581,campaign finance,medtop:20000574,The money that makes campaigns for public office possible
medtop:20000582,political candidates,medtop:20000574,Individuals who are chosen to stand for office
medtop:20000583,primary elections,medtop:20000574,Preliminary elections or caucuses to choose candidates to represent a political party in a regional or national election
medtop:20000584,referendum,medtop:20000574,"Political proposals, laws and actions to be voted on by the entire voting body, including ballot measures and citizens' initiatives"
medtop:20000585,regional elections,medtop:20000574,"Choosing individuals for government at a regional, state or province level"
medtop:20000586,voting,medtop:20000574,"The act of casting a ballot for a candidate, a party or an initiative in a political election, including voting machines, voting by mail or voter turnout"
medtop:20000587,fundamental rights,medtop:14000000,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law"
medtop:20000588,censorship and freedom of speech,medtop:20000587,The right to express opinions without restraint and attempts to supress speech by an organisation or individual
medtop:20000590,freedom of religion,medtop:20000587,The right to practice the religion of one's choosing and efforts to violate this right through the intimidation of believers or laws that encroach on religious rituals
medtop:20000591,freedom of the press,medtop:20000587,"The right of the press to report on stories freely and efforts by governments, organizations or individuals to suppress, jail or kill journalists who are reporting the news"
medtop:20000592,human rights,medtop:20000587,Rights entitled to be enjoyed by all people universally
medtop:20000593,government,medtop:11000000,"The systems, institutions and people who run a political entity"
medtop:20000594,civil and public service,medtop:20000593,"The paid service by civilians for the government, and the often non-paid service of individuals for the benefit of others (public service)"
medtop:20000595,government employee,medtop:20000593,Individuals employed by a government at all levels
medtop:20000596,public officials,medtop:20000593,Individuals who are elected or appointed to positions in the government
medtop:20000597,constitution (law),medtop:20000593,"A basic framework that stands above all laws and regulations, specifying how a particular political entity is governed"
medtop:20000598,national security,medtop:20000593,The protection of a political entity
medtop:20000599,armed forces,medtop:20000598,The organizations and individuals that serve as part of the military of a political entity
medtop:20000600,veterans' affairs,medtop:20000599,Care and provision for those who served in the military
medtop:20000601,military equipment,medtop:20000598,Equipment issued to members of the armed forces
medtop:20000602,military weaponry and equipment,medtop:20000598,The equipment and weapons used by armed forces and the trade of armaments between political entities
medtop:20000603,security measures (defence),medtop:20000598,"Means of making a nation, a state, a building or a person secure from harm and outside interference."
medtop:20000604,national security,medtop:20000603,"The philosophy of securing a nation and its borders, as well as the well-being of its citizens"
medtop:20000605,espionage and intelligence,medtop:20000598,Covert collection of information
medtop:20000606,executive (government),medtop:20000593,"Branch of government that is responsible for implementing the laws passed by the legislative branch, sometimes led by a prime minister or president"
medtop:20000607,government budget,medtop:20000593,The proposed expenses and revenues approved by the legislature.
medtop:20000608,public finance,medtop:20000607,The money of government used for paying for public programmes and services and public debt
medtop:20000609,government department,medtop:20000593,"Divisions of a government that concentrate on specific areas such as health, welfare, economy or war"
medtop:20000610,head of state,medtop:20000593,"Symbolic or actual chief representative of a nation, such as a monarch, president or emir"
medtop:20000611,impeachment,medtop:20000593,The process of bringing a public official before a tribunal to answer charges of wrongdoing
medtop:20000612,local authority,medtop:20000593,"Authorities at borough, city or county level"
medtop:20000613,minister or secretary (government),medtop:20000593,"Senior government official, either elected or appointed, who heads a government department or leads an initiative"
medtop:20000614,national government,medtop:20000593,The ruling body of a nation
medtop:20000615,legislative body,medtop:20000593,A legislature of elected officials representing the people that has the authority to make laws
medtop:20000616,lower house (legislature),medtop:20000615,"Lower chamber of a legislative body, such as the US House of Representatives or UK House of Commons"
medtop:20000617,upper house (legislature),medtop:20000615,"Senior chamber of a legislative body, such as the US Senate or UK House of Lords"
medtop:20000618,regional authority,medtop:20000593,"Authorities at a level above the local and below the national, such as a state or province"
medtop:20000619,safety of citizens,medtop:20000621,Government policies to protect the well-being of its citizens
medtop:20000620,taxation policy,medtop:20000621,Government programmes and policies around the taxation of citizens and entities
medtop:20000621,government policy,medtop:11000000,An overall plan or course of action set out by a government intended to influence and guide decisions
medtop:20000623,nationalisation,medtop:20000345,State takeover of private organisations or properties
medtop:20000624,privatisation,medtop:20000345,The transfer of state-owned organisations or properties to private owners
medtop:20000625,state-owned enterprise,medtop:20000345,Enterprises owned partially or completely by the government
medtop:20000626,interior policy,medtop:20000621,Government policies affecting internal affairs
medtop:20000627,data protection policy,medtop:20000621,"Efforts to protect personal information in written, oral or electronic form and regulations around what personal information can be collected by the government or other entities"
medtop:20000628,housing and urban planning policy,medtop:20000621,Systematic planning of urban and suburban areas and the housing within those areas
medtop:20000629,policy towards indigenous people,medtop:20000621,"Government progams and policies toward indigenous peoples, such as land allocation, rights protection and financial support"
medtop:20000630,pension and welfare policy,medtop:20000621,"Government policies supporting citizens financially through programs such as unemployment payments, pensions and financial support for the poor"
medtop:20000631,personal data collection policy,medtop:20000621,"The collection, by government or other entities of information on individuals"
medtop:20000632,personal weapon control policy,medtop:20000621,Government policies and regulations around the personal ownership of firearms and other weapons
medtop:20000633,planning inquiries,medtop:20000621,"Public hearings or planning inquiries on proposed constructions, e.g. Construction of water driven power station in a National Park."
medtop:20000634,immigration policy,medtop:20000621,"Policies around immigration into a country such as who may immigrate to a country, how many people are allowed in each year, deportation of illegal immigrants and integration programmes that help new immigrants assimilate to a country's culture"
medtop:20000635,nuclear policy,medtop:20000621,Government policies around the production of use of nuclear power and weapons
medtop:20000636,regulation of industry,medtop:20000621,Government regulation dictating how companies operate
medtop:20000637,food and drink regulations,medtop:20000636,"Government policies relating to the production and selling of food and drink, including ensuring food safety"
medtop:20000638,international relations,medtop:11000000,"Relations between nations through negotiation, treaty, or diplomacy"
medtop:20000639,diplomacy,medtop:20000638,Negotiations between representatives of nations or groups of nations and the diplomats who are involved in the talks
